"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Epic : UserProfile : Excel ddt ","0","","1","0","Credkart User login_excel_ddt Verification","0"
"0","Epic : User_Profile : User Registration","0","","1","0","Credkart : User Registration Verification","0"
"0","Epic : User Login profile","0","","1","0","Credkart : User Login","0"
"0","Epic : User profile","0","","1","0","Credkart : User Page Verification","0"
